city,district,neighborhood,room,living-room,area,age,floor,price
manisa,akhisar,resat_bey,2,1,90,0,2,150
manisa,turgutlu,ergenekon,3,1,145,15,3,225
manisa,akhisar,efendi,3,1,110,31,0,85
manisa,akhisar,cumhuriyet,3,1,130,12,1,120
manisa,yunusemre,muradiye,1,1,65,8,2,200
manisa,sarigol,mimar_sinan,2,1,110,0,2,150
manisa,turgutlu,selvilitepe,3,1,160,0,11,220
manisa,akhisar,hurriyet,3,1,135,8,-3,168
manisa,akhisar,ataturk,2,1,105,2,1,180
manisa,akhisar,cumhuriyet,4,1,130,15,3,120
manisa,akhisar,ataturk,3,1,130,3,2,225
manisa,turgutlu,yedi_eylul,2,1,95,20,3,120
manisa,saruhanli,cengiz_topel,2,1,116,0,4,185
manisa,yunusemre,mesir,3,1,110,28,3,240
manisa,akhisar,haci_ishak,3,1,130,9,0,180
manisa,yunusemre,akgedik,3,1,125,5,1,180
manisa,salihli,kurtulus,2,1,88,6,1,150
manisa,turgutlu,mustafa_kemal,2,1,110,2,2,140
manisa,yunusemre,uncubozkoy,4,1,189,21,4,300
manisa,salihli,mithatpasa,1,1,45,4,2,150
manisa,yunusemre,merkez_efendi,3,1,128,20,6,180
manisa,akhisar,haci_ishak,2,1,100,20,3,100
manisa,saruhanli,cengiz_topel,2,1,100,1,3,150
manisa,akhisar,has_hoca,3,1,130,7,3,155
manisa,saruhanli,cengiz_topel,1,1,60,1,3,120
manisa,akhisar,hurriyet,3,1,145,12,2,180
manisa,yunusemre,guzelyurt,1,1,65,0,1,200
manisa,salihli,cumhuriyet,3,1,140,20,2,180
manisa,salihli,mithatpasa,1,1,45,8,3,140
manisa,salihli,cumhuriyet,3,1,130,25,4,150
manisa,salihli,mithatpasa,2,0,70,6,3,150
manisa,akhisar,hurriyet,2,1,100,25,2,135
manisa,salihli,cumhuriyet,3,1,140,25,1,120
manisa,salihli,eski_cami,4,1,200,20,3,300
manisa,turgutlu,yeni,3,1,140,4,0,200
manisa,saruhanli,cengiz_topel,3,1,155,1,3,160
manisa,alasehir,kurtulus,1,1,41,0,1,150
manisa,yunusemre,akgedik,3,1,128,5,1,180
manisa,salihli,yoruk,3,1,140,15,3,180
manisa,yunusemre,yeni_mahalle,4,2,190,5,3,300
manisa,turgutlu,mustafa_kemal,2,1,95,5,0,135
manisa,turgutlu,selvilitepe,2,1,105,0,1,190
manisa,akhisar,cumhuriyet,4,1,200,0,6,200
manisa,yunusemre,laleli,2,1,98,32,1,200
manisa,akhisar,hurriyet,2,1,80,35,3,120
manisa,yunusemre,hafsa_sultan,2,1,105,45,0,120
manisa,akhisar,ataturk,3,1,140,5,2,220
manisa,akhisar,ataturk,3,1,150,18,3,150
manisa,akhisar,hurriyet,3,1,125,12,0,150
