city,district,neighborhood,room,living-room,area,age,floor,price
aydin,efeler,zafer,1,1,58,7,1,12000
aydin,didim,cumhuriyet,2,1,90,15,2,20000
aydin,kusadasi,ege,3,1,145,19,3,27500
aydin,efeler,orta,1,1,45,10,2,10000
aydin,efeler,guzelhisar,2,1,130,40,5,20000
aydin,efeler,zafer,2,1,70,0,2,15000
aydin,efeler,kurtulus,2,1,100,38,0,15000
aydin,kusadasi,davutlar,1,1,50,5,3,15000
aydin,didim,akbuk,2,1,75,5,1,25000
aydin,nazilli,yesil,3,1,200,1,1,26000
aydin,kusadasi,hacifeyzullah,2,1,95,25,6,20000
aydin,efeler,adnan_menderes,3,1,110,15,4,26000
aydin,efeler,ata,3,1,135,6,2,25000
aydin,nazilli,cumhuriyet,1,1,50,5,5,14000
aydin,kusadasi,degirmendere,3,1,130,1,3,35000
aydin,kusadasi,davutlar,2,1,90,0,2,25000
aydin,kusadasi,kirazli,2,1,75,7,3,29000
aydin,didim,camlik,3,1,200,25,0,28000
aydin,efeler,orta,1,1,55,6,3,16000
aydin,kusadasi,turkmen,3,1,130,35,0,35000
aydin,didim,efeler,2,1,95,13,3,23000
aydin,nazilli,yeni,2,1,85,5,1,15000
aydin,didim,yeni,2,1,110,12,3,22000
aydin,didim,akbuk,3,1,150,3,0,55000
aydin,efeler,yedi_eylul,3,1,125,26,1,15250
aydin,efeler,hasanefendi_ramazan_pasa,3,1,140,25,2,17000
aydin,germencik,park,3,1,180,10,3,25000
aydin,cine,sogancilar,3,1,131,1,2,21000
aydin,kusadasi,davutlar,2,1,110,6,2,17500
aydin,didim,altinkum,3,1,160,4,0,40000
aydin,efeler,cumhuriyet,3,1,120,35,1,12000
aydin,nazilli,yesil,3,1,140,3,6,20000
aydin,kusadasi,degirmendere,3,1,125,0,3,36500
aydin,kusadasi,ege,3,1,135,7,3,33000
aydin,efeler,zafer,1,1,50,5,3,14000
aydin,nazilli,zafer,3,1,150,14,3,15000
aydin,didim,camlik,3,1,200,15,5,30000
aydin,didim,efeler,3,1,140,14,4,25000
aydin,kusadasi,kadinlar_denizi,4,1,155,20,0,27000
aydin,kusadasi,karaova,1,1,65,5,0,35000
aydin,efeler,fatih,3,1,115,35,5,12000
aydin,efeler,cuma,3,1,135,25,4,18500
aydin,efeler,yedi_eylul,3,1,140,20,4,14000
aydin,efeler,kurtulus,2,1,110,6,2,16000
aydin,kusadasi,davutlar,1,1,60,7,-1,13500
aydin,nazilli,sirinevler,2,1,90,12,1,12000
aydin,efeler,orta,1,1,45,9,2,13500
aydin,kusadasi,turkmen,2,1,75,36,3,25000
aydin,kusadasi,davutlar,1,1,60,0,2,16000
aydin,kusadasi,kadinlar_denizi,1,1,35,25,0,13000
aydin,didim,hisar,2,1,120,15,2,19500
aydin,kusadasi,bayraklidede,1,1,50,0,2,25000
aydin,didim,akbuk,3,1,150,3,0,45000
aydin,efeler,yedi_eylul,3,1,130,25,4,17000
aydin,incirliova,gerenkova,3,1,130,7,1,15000
aydin,soke,yenikent,2,1,80,8,5,17500
aydin,nazilli,yesil,3,1,142,5,5,23000
aydin,kusadasi,degirmendere,2,1,100,7,0,30000
aydin,efeler,zafer,2,1,75,7,2,15000
aydin,nazilli,zafer,3,1,150,18,6,19000
aydin,efeler,guzelhisar,3,1,140,25,6,10000
aydin,nazilli,yildiztepe,2,1,110,25,2,13000
aydin,kusadasi,turkmen,3,1,130,36,1,25000
aydin,efeler,cumhuriyet,3,1,115,25,1,18500
aydin,efeler,kurtulus,2,1,100,25,2,15000
aydin,efeler,orta,1,1,55,4,4,12000
aydin,soke,yenikent,1,1,55,6,3,16000
aydin,efeler,zeybek,3,1,160,1,3,52000
aydin,efeler,mimar_sinan,3,1,160,20,5,25000
