"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/izmir-buca-kozagac-kiralik/daire/111716-1263","52","20.000","25-03-2025","Kiralık Daire","2 +
                          1","95 m²","8
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Buca Kozağaç Meydan Yak. 2+1 90 M2 Kapalı M. Arakat Çift Cephe Kiralık Daire","İzmir / Buca / Kozağaç Mah.","https://www.hepsiemlak.com/emlak-ofisi/buca-boranem-gayrimenkul-111716","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/1/7/1/1/1/125d5778-9658-47a4-ad66-4ff161d32cd2.jpg","Buca Boranem Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-buca-kozagac-kiralik/daire/109159-416","18","25.000","19-03-2025","Kiralık Daire","3 +
                          1","130 m²","5
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Safir'den Merkezi Konumda 3+1 Temiz/geniş Daire","İzmir / Buca / Kozağaç Mah.","https://www.hepsiemlak.com/emlak-ofisi/safir-gayrimenkul-ve-yatirim-danismanligi-109159","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/5/1/9/0/1/7c84690d-8342-4679-a6d5-900f4d139a48.jpg","Safir Gayrimenkul Ve Yatırım Danışmanlığı",""
"https://www.hepsiemlak.com/izmir-menemen-irmak-kiralik/daire/140904-280","30","18.000","19-03-2025","Kiralık Daire","4 +
                          1","140 m²","18
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Menemen Koyundere' De Kiralık 4+1 Daire","İzmir / Menemen / Irmak Mah.","https://www.hepsiemlak.com/emlak-ofisi/startkey-zirve-gayrimenkul-140904","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/0/9/0/4/1/e66778f4-fb87-4609-b9be-35969b3554cd.jpg","Startkey Zirve Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-buca-goksu-kiralik/daire/112720-92","18","17.000","16-03-2025","Kiralık Daire","3 +
                          1","150 m²","22
                        Yaşında","1. Kat","","","","Denge'den Buca Göksu Mahelesinde 1.Kat 3+1 Doğalgazlı Kiralık Daire","İzmir / Buca / Göksu Mah.","https://www.hepsiemlak.com/emlak-ofisi/denge-gayrimenkul-112720","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/4/5/3/3/4/4/1742023703735-44335470.jpg","Denge Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/2/7/2/1/1/96b37f31-02a6-4fe7-b852-05cdc6d18259.jpg"
"https://www.hepsiemlak.com/izmir-gaziemir-beyazevler-kiralik/mustakil-ev/72560-2048","36","60.000","18-03-2025","Kiralık Müstakil Ev","4 +
                          1","240 m²","12
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Zeta'dan Gaziemir Beyazevler Mh. Bahçeli Teraslı Müstakil 4+1","İzmir / Gaziemir / Beyazevler Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/9/9/7/2/4/4/454701a9-bbdc-450b-8f2f-7b77b2fe7735.jpg","",""
"https://www.hepsiemlak.com/izmir-foca-ataturk-kiralik/daire/141619-303","29","30.000","22-02-2025","Kiralık Daire","2 +
                          1","70 m²","31
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Foça Merkezi Konumda Deniz Manzaralı Kiralık Dubleks Daire","İzmir / Foça / Atatürk Mah.","https://www.hepsiemlak.com/emlak-ofisi/startkey-1872-gayrimenkul-141619","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/5/2/3/2/4/4/fcaa89d2-2fd9-43a2-9444-8030c1df8387.jpg","Startkey 1872 Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/1/6/1/4/1/f3c7279a-a0c8-4663-b39b-63ccfc888cd1.jpg"
"https://www.hepsiemlak.com/izmir-buca-adatepe-kiralik/daire/104457-130","19","18.000","20-03-2025","Kiralık Daire","2 +
                          1","80 m²","5
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Adatepe Mah Hasanağa Ve Fakülteler Yakını 2+1 Arakat-Dgaz-Balkon","İzmir / Buca / Adatepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/emlak-shop-izmir-104457","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/2/1/3/2/4/4/1740208633-4853458-44231218.jpeg","Emlak Shop İzmir","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/5/4/4/0/1/672b284c-0e54-48d0-99c5-34e2c77cef24.jpg"
"https://www.hepsiemlak.com/izmir-gaziemir-hurriyet-kiralik/daire/90115-1044","35","18.500","15-03-2025","Kiralık Daire","3 +
                          1","145 m²","20
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Turyap Gaziemir'den Sarnıçta 3 + 1 Geniş Daire Balkonlu","İzmir / Gaziemir / Hürriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/turyap-gaziemir-temsilciligi-90115","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/4/0/1/2/4/4/1739882610-70512-44210427.jpeg","Turyap Gaziemir Temsilciliği","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/1/0/9/0/8053d30c-6918-4c8f-a821-1b141378aad0.jpg"
"https://www.hepsiemlak.com/izmir-menemen-istiklal-kiralik/daire/152282-74","17","34.000","14-02-2025","Kiralık Daire","3 +
                          1","155 m²","Sıfır Bina","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Menemen Egekent 2'de Kiralık 3+1 Daire","İzmir / Menemen / İstiklal Mah.","https://www.hepsiemlak.com/emlak-ofisi/buy-sold-imperium-gayrimenkul-152282","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/8/9/0/9/1/4/4/b5e5f81f-3543-4062-9789-baff80a872f4.jpg","Buy Sold İmperium Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/8/2/2/5/1/b2ab5e3f-83cf-4347-801c-5a4853af531b.jpg"
"https://www.hepsiemlak.com/izmir-buca-mustafa-kemal-kiralik/daire/15356-5836","51","30.000","17-03-2025","Kiralık Daire","3 +
                          1","125 m²","5
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Buca M.Kemal Mah.'de Otoparklı, Ebeveyn Banyolu Lüks 3+1 Daire","İzmir / Buca / Mustafa Kemal Mah.","https://www.hepsiemlak.com/emlak-ofisi/turyap-izmir-buca-temsilciligi-15356","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/5/2/8/7/1/4/4/27c534e8-3f2d-4ec0-a3cb-9edf9011a375.jpg","Turyap İzmir Buca Temsilciliği","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/3/5/1/0/dd1d6e78-ba67-4d2e-9977-287eca55e573.jpg"
