"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","listing-card--owner-info__firm-name","he-lazy-image src 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/manisa-akhisar-resat-bey-kiralik/daire/94137-1205","23","15.000","03-04-2025","Kiralık Daire","2 +
                          1","90 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Akhisar Reşatbey Mahallesi'nde 2+1 Kiralık Daire","Manisa / Akhisar / Reşat Bey Mah.","","","",""
"https://www.hepsiemlak.com/manisa-turgutlu-ergenekon-kiralik/daire/77770-433","16","22.500","02-04-2025","Kiralık Daire","3 +
                          1","145 m²","15
                        Yaşında","3. Kat","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/7/7/7/0/50b4eb33-15e7-4bc3-b706-59f1cf0b875f.jpg","","Turgutlu Eşyalı Kiralık Ergenekon Mah 145m2 B.135m2 N. 3+1 Oda Doğalgazlı Balkonlu Ful Eşyalı Daire","Manisa / Turgutlu / Ergenekon Mah.","https://www.hepsiemlak.com/emlak-ofisi/serhat-emlak-gayrimenkul-77770","Serhat Emlak Gayrımenkul","",""
"https://www.hepsiemlak.com/manisa-akhisar-efendi-kiralik/mustakil-ev/143974-342","15","8.500","04-04-2025","Kiralık Müstakil Ev","3 +
                          1","110 m²","31
                        Yaşında","","","","","Manisa Akhisar Efendi Mah. Kiralık 3+1 Müstakil Ev 8.500 Tl .","Manisa / Akhisar / Efendi Mah.","","","",""
"https://www.hepsiemlak.com/manisa-akhisar-cumhuriyet-kiralik/daire/143983-87","27","12.000","22-03-2025","Kiralık Daire","3 +
                          1","130 m²","12
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/1/3/7/3/4/4/1742645843162-44373108.jpg","EİDS onaylı","Cumhuriyet Mahallesi Çağlak Parkı Yakını 3+1 120 M2 Kiralık Daire","Manisa / Akhisar / Cumhuriyet Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/152901-51","15","20.000","18-03-2025","Kiralık Daire","1 +
                          1","65 m²","8
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/6/0/5/3/4/4/4f396673-130d-4ea9-a345-87321de4e78d.jpg","EİDS onaylı","Startkey Platin'den Karaalide Kiralık Eşyalı Havuz Manzaralı 1+1","Manisa / Yunusemre / Muradiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/startkey-platin-152901","Startkey Platin","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/0/9/2/5/1/a083ef58-14bb-4cf2-9ed0-fb9d8cf48868.jpg"
"https://www.hepsiemlak.com/manisa-sarigol-mimar-sinan-kiralik/daire/131207-273","15","15.000","24-03-2025","Kiralık Daire","2 +
                          1","110 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/2/8/4/1/3/4/4/1741704651224-44314825.jpg","EİDS onaylı","Manisa Sarıgöl Sıfır 2+1 Kiralık Daire","Manisa / Sarıgöl / Mimar Sinan Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-turgutlu-selvilitepe-kiralik/daire/155066-11","33","22.000","20-03-2025","Kiralık Daire","3 +
                          1","160 m²","Sıfır Bina","11. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/3/8/0/2/4/4/1739866424252-44208345.jpg","EİDS onaylı","Ege Kop Prestij Evlerinde Site İçinde Kiralık 3+1 Daire","Manisa / Turgutlu / Selvilitepe Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-akhisar-hurriyet-kiralik/daire/143995-136","22","16.800","25-03-2025","Kiralık Daire","3 +
                          1","135 m²","8
                        Yaşında","Kot 3","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/9/0/6/7/1/4/4/1739296568654-44176092.jpg","EİDS onaylı","Utku Gayrimenkulden Akhisar Hürriyet Mahallesinde Kiralık 3+1 Daire","Manisa / Akhisar / Hürriyet Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-akhisar-ataturk-kiralik/daire/94137-1201","22","18.000","03-04-2025","Kiralık Daire","2 +
                          1","105 m²","2
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/2/1/7/0/4/4/1737440335-7545319-44071247.jpeg","EİDS onaylı","Akhisar Atatürk Mahallesi’nde 2+1 Kiralık Daire","Manisa / Akhisar / Atatürk Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-akhisar-cumhuriyet-kiralik/daire/143974-320","20","12.000","04-04-2025","Kiralık Daire","4 +
                          1","130 m²","15
                        Yaşında","Ara Kat","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/8/4/6/6/2/4/4/1741283255273-44266485.jpg","","Manisa Akhisar Cumhuriyet Mah Kiralık 3+1 Daire 12.000tl","Manisa / Akhisar / Cumhuriyet Mah.","","","",""
