"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3","wp-btn","listing-card--owner-info__firm-name","listing-card--owner-info__name"
"https://www.hepsiemlak.com/aydin-efeler-zafer-kiralik/daire/71957-229","27","12.000","04-04-2025","Kiralık Daire","1 +
                          1","58 m²","7
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Aydın Merkezde Kiralık 1+1 Ful Eşyalı Klimalı Ön Ve Arka Cepheli Asansörlü Masrafsız Daire","Aydın / Efeler / Zafer Mah.","https://www.hepsiemlak.com/emlak-ofisi/ada-emlak-71957/korhan-cengiz-1364575","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/7/5/4/6/3/1/8101ab1a-558e-45e8-9a2f-70cc4d1ce418.jpg","https://www.hepsiemlak.com/emlak-ofisi/ada-emlak-71957","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/5/9/1/7/0/881ff800-eea5-43c0-98cb-6f6a67566340.jpg","Whatsapp","Ada Emlak","Korhan
        Cengiz"
"https://www.hepsiemlak.com/aydin-didim-cumhuriyet-kiralik/daire/26182-2949","23","20.000","04-04-2025","Kiralık Daire","2 +
                          1","90 m²","15
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Cumhuriyet Caddesinde Uzun Dönem Kiralık Ayrı Mutfaklı Boş Daire","Aydın / Didim / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/ege-emlak-26182/cumhur-karakasoglu-26182","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/8/1/6/2/0/c7587fce-34c2-47dc-8460-7eb34817c59f.jpg","https://www.hepsiemlak.com/emlak-ofisi/ege-emlak-26182","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/8/1/6/2/0/189c8763-027d-4129-9c43-432e0d5cb420.jpg","Whatsapp","Ege Emlak","Cumhur
        Karakaşoğlu"
"https://www.hepsiemlak.com/aydin-kusadasi-ege-kiralik/daire/155595-2","21","27.500","04-04-2025","Kiralık Daire","3 +
                          1","145 m²","19
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kuşadası Ege Mahallesinde Havuzlu Site İçinde Kiralık 3+1 Daire","Aydın / Kuşadası / Ege Mah.","https://www.hepsiemlak.com/emlak-ofisi/adam-emlak-155595/celal-coskun-4380816","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/6/1/8/0/8/3/4/199aa2f6-926c-4619-abc7-ad218578d98d.jpg","","","Whatsapp","Ada'm Emlak","Celal
        Coşkun"
"https://www.hepsiemlak.com/aydin-efeler-orta-kiralik/daire/131789-177","26","10.000","05-04-2025","Kiralık Daire","1 +
                          1","45 m²","10
                        Yaşında","2. Kat","","","","Aydın, Efeler De, Esyalı, Klimalı 1+1 Kiralık Daire","Aydın / Efeler / Orta Mah.","https://www.hepsiemlak.com/emlak-ofisi/payza-emlak-danismanligi-131789/haluk-payza-3431889","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/5/9/8/8/3/4/1734602702944-43889596.jpg","https://www.hepsiemlak.com/emlak-ofisi/payza-emlak-danismanligi-131789","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/8/8/1/3/4/3/52484391-1ddb-481e-805d-313a48428b18.jpg","Whatsapp","Payza Emlak Danışmanlığı","Haluk
        Payza"
"https://www.hepsiemlak.com/aydin-efeler-guzelhisar-kiralik/daire/71291-2692","24","20.000","04-04-2025","Kiralık Daire","2 +
                          1","130 m²","40
                        Yaşında","5. Kat","","","","Gaziemlak Tan  Bulvar Üzeri Doğalgaz Asansör Lü 2+1  120m2 Daire Kiralıktır","Aydın / Efeler / Güzelhisar Mah.","https://www.hepsiemlak.com/emlak-ofisi/gazi-emlak-71291/irfan-gumus-1353473","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/7/0/1/9/3/4/1734968904319-43910710.jpg","https://www.hepsiemlak.com/emlak-ofisi/gazi-emlak-71291","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/7/4/3/5/3/1/2209e760-74d6-4e3b-966b-649846c5dc55.jpeg","Whatsapp","Gazi Emlak","İrfan
        Gümüş"
"https://www.hepsiemlak.com/aydin-efeler-zafer-kiralik/daire/77072-3380","17","15.000","05-04-2025","Kiralık Daire","2 +
                          1","70 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Eab’den Aydın Kiralık 2+1 70 M2 2.Kat Zafer Mah. Eşyalı Daire","Aydın / Efeler / Zafer Mah.","https://www.hepsiemlak.com/emlak-ofisi/eab-gayrimenkul-77072","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/3/2/8/0/0/4/4/1742240800-913221-44008239.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/0/7/7/0/8b88c79f-e7f2-4678-b04e-f8813cf2fcb8.jpg","Whatsapp","Eab Gayrimenkul",""
"https://www.hepsiemlak.com/aydin-kusadasi-degirmendere-kiralik/daire/28110-15097","37","37.500","04-04-2025","Kiralık Daire","3 +
                          1","129 m²","Sıfır Bina","Çatı Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kuşadası Değirmendere’de Deniz Manzaralı Kiralık Çatı Dublex","Aydın / Kuşadası / Değirmendere Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-pasha-1-28110","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/9/2/2/4/4/4/1743787968-022606-44422988.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/1/1/8/2/0/7381bd77-e794-4821-bcfc-f4159c352ac9.jpg","Whatsapp","Remax Pasha 1",""
"https://www.hepsiemlak.com/aydin-kosk-ciftlikkoy-kiralik/ciftlik-evi/154624-25","11","20.000","04-04-2025","Kiralık Çiftlik Evi","2 +
                          1","670 m²","20
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Aydın Köşk Çiftlikköy’de Kiralık Çiftlikevi","Aydın / Köşk / Çiftlikköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/hm-gayrimenkul-154624/melek-urek-4357756","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/8/9/1/4/4/4/1743757264-060106-44419887.jpeg","https://www.hepsiemlak.com/emlak-ofisi/hm-gayrimenkul-154624","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/6/5/7/7/5/3/4/c565c003-a6ef-4d6b-bd9a-d4c9987a6546.jpg","Whatsapp","Hm Gayrimenkul","Melek
        Ürek"
"https://www.hepsiemlak.com/aydin-efeler-mimar-sinan-kiralik/villa/71291-2673","46","55.000","04-04-2025","Kiralık Villa","5 +
                          2","400 m²","20
                        Yaşında","","","","","Gaziemlak,Tan Mimarsinan Mah, Müstakil Bahçeli Doğalgazlı Açık Teraslı 5+1 250m2 Villa Kiralıktır","Aydın / Efeler / Mimar Sinan Mah.","https://www.hepsiemlak.com/emlak-ofisi/gazi-emlak-71291/irfan-gumus-1353473","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/4/2/8/7/7/3/4/6cb3a4a6-60bc-4d58-8fb7-59ae7ace7658.jpg","https://www.hepsiemlak.com/emlak-ofisi/gazi-emlak-71291","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/7/4/3/5/3/1/2209e760-74d6-4e3b-966b-649846c5dc55.jpeg","Whatsapp","Gazi Emlak","İrfan
        Gümüş"
"https://www.hepsiemlak.com/aydin-efeler-kurtulus-kiralik/daire/77072-3415","13","15.000","05-04-2025","Kiralık Daire","2 +
                          1","100 m²","38
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Aydın Kiralık 2+1 100 M2 Giriş Kat Kurtuluş Mah. Doğalgazlı Eşyalı Daire","Aydın / Efeler / Kurtuluş Mah.","https://www.hepsiemlak.com/emlak-ofisi/eab-gayrimenkul-77072","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/0/2/1/4/4/4/d5674bb0-9977-4747-b492-5cf902485794.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/0/7/7/0/8b88c79f-e7f2-4678-b04e-f8813cf2fcb8.jpg","Whatsapp","Eab Gayrimenkul",""
"https://www.hepsiemlak.com/aydin-kusadasi-davutlar-kiralik/daire/72829-1591","24","15.000","04-04-2025","Kiralık Daire","1 +
                          1","50 m²","5
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kuşadası Davutlar Kiralık 1+1 Daire","Aydın / Kuşadası / Davutlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/sahil-gayrimenkul-72829","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/2/4/5/8/3/4/79d9c3e3-3db8-4a7e-bb6f-62a2312df122.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/2/8/2/7/0/24a102b3-8165-4411-9d93-3a62c86c01fa.jpg","Whatsapp","Sahil Gayrimenkul",""
"https://www.hepsiemlak.com/aydin-didim-akbuk-kiralik/daire/120058-1466","7","25.000","05-04-2025","Kiralık Daire","2 +
                          1","75 m²","5
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Didim Akbük Merkezde Denize 50 Metre 2+1 Esyalı Kiralık Daire","Aydın / Didim / Akbük Mah.","https://www.hepsiemlak.com/emlak-ofisi/turyap-didim-akbuk-temsilciligi-120058","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/0/2/9/1/4/4/d6ab538c-c377-4c41-8cca-235c69290768.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/5/0/0/2/1/6ba8d424-8a02-43aa-a703-caa0f6ccc4ae.jpg","Whatsapp","Turyap Didim Akbük Temsilciliği",""
