"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","he-lazy-image src 2","img-wrp href","he-lazy-image src 3","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/denizli-merkezefendi-yenisehir-kiralik/daire/60626-1185","25","15.500","02-04-2025","Kiralık Daire","3 +
                          1","145 m²","32
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Yenişehir 3+1 Ara Kat Kiralık Daire","Denizli / Merkezefendi / Yenişehir Mah.","","","",""
"https://www.hepsiemlak.com/denizli-pamukkale-kervansaray-kiralik/daire/60626-1187","24","36.000","01-04-2025","Kiralık Daire","4 +
                          2","220 m²","20
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kervansaray 3.5+1 220 M2 Kiralık Daire","Denizli / Pamukkale / Kervansaray Mah.","","","",""
"https://www.hepsiemlak.com/denizli-merkezefendi-gultepe-kiralik/daire/134416-119","10","15.000","05-04-2025","Kiralık Daire","2 +
                          1","130 m²","13
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Gültepe Mahallesinde Kiralık Geniş 2+1 Daire","Denizli / Merkezefendi / Gültepe Mah.","","","",""
"https://www.hepsiemlak.com/denizli-merkezefendi-karahasanli-kiralik/daire/141511-589","60","19.000","05-04-2025","Kiralık Daire","3 +
                          1","150 m²","8
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Denizli Karahasanlı Da Şehir Hastanesine Yakın Fırsat 3+1 150 M2 Acil Kiralık Daire","Denizli / Merkezefendi / Karahasanlı Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/5/5/1/4/4/4/e1c62474-7f83-44c1-bafc-33506b64ee53.jpg","https://www.hepsiemlak.com/emlak-ofisi/re-life-gayrimenkul-141511","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/1/5/1/4/1/ed7fa3c1-094d-44f8-a487-f78aa0e81803.jpg","Re Life Gayrimenkul"
"https://www.hepsiemlak.com/denizli-pamukkale-mehmetcik-kiralik/daire/113603-117","19","12.000","05-04-2025","Kiralık Daire","1 +
                          1","45 m²","5
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Mehmetçik'te Arakat Balkonlu Ön Cephe Klimalı 1+1 Kiralık Apart","Denizli / Pamukkale / Mehmetçik Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/2/0/3/7/1/4/4/e7ef501f-0d4f-43b8-afcf-7ec025d54f31.jpg","","",""
"https://www.hepsiemlak.com/denizli-merkezefendi-mehmet-akif-ersoy-kiralik/daire/94433-906","60","15.000","05-04-2025","Kiralık Daire","1 +
                          1","70 m²","3
                        Yaşında","Yüksek Giriş","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/2/1/2/6/9/1/5fdfda97-1801-4752-80db-5210e4409e60.jpg","","Albayrak Meydanı Yakını !!  Eşyalı  Kiralık 1+1 Yerden Isınmalı","Denizli / Merkezefendi / Mehmet Akif Ersoy Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/6/8/1/2/0/4/9979c7fa-0277-4b4a-a51c-1aac0856f99f.jpg","https://www.hepsiemlak.com/emlak-ofisi/borsa-gayrimenkul-94433/ozge-ocal-1962124","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/3/4/4/9/0/3f79f8be-bc4b-41dc-9b0c-2de66edbca88.jpg","Borsa Gayrimenkul"
"https://www.hepsiemlak.com/denizli-merkezefendi-karahasanli-kiralik/daire/128687-1073","21","15.000","05-04-2025","Kiralık Daire","2 +
                          1","110 m²","4
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Redstone Myra Dan Karahasanlı Da Kiralık 2+1 Daire","Denizli / Merkezefendi / Karahasanlı Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/7/5/2/4/4/4/c87e13f5-7811-422b-922c-5adae10f5bff.jpg","https://www.hepsiemlak.com/emlak-ofisi/redstone-myra-gayrimenkul-128687","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/8/6/8/2/1/9beacb78-1908-4b12-a996-f9e4e21b7c31.jpg","Redstone Myra Gayrimenkul"
"https://www.hepsiemlak.com/denizli-pamukkale-zeytinkoy-kiralik/daire/145774-642","10","9.000","05-04-2025","Kiralık Daire","1 +
                          1","60 m²","14
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Zeytinköy Mahaleesin'de 1+1 50 M2 Kiralık Fırsat Apart","Denizli / Pamukkale / Zeytinköy Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/4/4/9/3/4/4/e241d5aa-d79b-453a-89a8-9eda5a5aeff3.jpg","https://www.hepsiemlak.com/emlak-ofisi/rossi-gold-danismanlik-145774","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/7/7/5/4/1/60be29ec-f190-4df7-9af4-33d6cbbe334c.jpg","Rossi Gold Danışmanlık"
"https://www.hepsiemlak.com/denizli-pamukkale-feslegen-kiralik/daire/15694-3782","31","13.000","05-04-2025","Kiralık Daire","3 +
                          1","135 m²","30
                        Yaşında","En Üst Kat","","","","Laodikya Emlaktan Fesleğen Mahallesinde  Kiralık Daire    3+1   135 M2   3 .Kat","Denizli / Pamukkale / Fesleğen Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/2/6/0/7/3/4/d62b62c3-9061-4767-83af-03376aac8daf.jpg","https://www.hepsiemlak.com/emlak-ofisi/laodikya-emlak-15694","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/6/5/1/0/33193458-39d7-4838-ad1c-8e7fb7dc36a7.jpg","Laodikya Emlak"
"https://www.hepsiemlak.com/denizli-pamukkale-atalar-kiralik/daire/113603-127","20","15.000","05-04-2025","Kiralık Daire","2 +
                          1","75 m²","5
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Atalar'da Arakat Ön Cephe Geniş 2+1 Klimalı Asansörlü Apart","Denizli / Pamukkale / Atalar Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/0/8/9/3/4/4/49441d0b-72d6-4a84-9329-587fed594627.jpg","","",""
