"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name","list-view-header"
"https://www.hepsiemlak.com/mugla-milas-cumhuriyet-kiralik/daire/61330-1051","39","28.000","04-04-2025","Kiralık Daire","3 +
                          1","130 m²","2
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Muğla / Milas / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/mehmet-emlak-milas-61330/mehmet-kirkik-1114502","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/0/5/4/1/1/1/b06b67ed-6408-43e2-b126-18aa64c041fd.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/3/3/1/6/0/b5555b0f-9eab-4242-905c-a27108792ffe.jpg","Mehmet Emlak Milas",""
"https://www.hepsiemlak.com/mugla-marmaris-orhaniye-kiralik/daire/142850-540","7","22.000","26-03-2025","Kiralık Daire","2 +
                          1","95 m²","5
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Muğla / Marmaris / Orhaniye Mah.","https://www.hepsiemlak.com/emlak-ofisi/su-emlak-ltd-sti-142850","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/5/8/2/4/1/f6ce39f5-6f94-420a-8d44-3ad40d89e75c.jpg","","Su Emlak LTD ŞTI",""
"https://www.hepsiemlak.com/mugla-mentese-bayir-kiralik/daire/118408-259","11","18.500","03-04-2025","Kiralık Daire","2 +
                          1","105 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Muğla / Menteşe / Bayır Mah.","https://www.hepsiemlak.com/emlak-ofisi/uzunoglu-emlak-gayrimenkul-118408","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/4/8/1/1/06f57b55-231c-454b-888f-3f2d9024db75.jpg","","Uzunoğlu Emlak Gayrimenkul",""
"https://www.hepsiemlak.com/mugla-milas-ismet-pasa-kiralik/daire/61330-1047","31","28.000","02-04-2025","Kiralık Daire","3 +
                          1","135 m²","13
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/2/3/4/1/3/4/4/1741700037786-44314328.jpg","EİDS onaylı","Muğla / Milas / İsmet Paşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/mehmet-emlak-milas-61330/mehmet-kirkik-1114502","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/0/5/4/1/1/1/b06b67ed-6408-43e2-b126-18aa64c041fd.jpg","Mehmet Emlak Milas",""
"https://www.hepsiemlak.com/mugla-bodrum-akyarlar-kiralik/daire/145824-21","59","35.000","05-04-2025","Kiralık Daire","1 +
                          1","62 m²","23
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/7/7/0/4/4/4/08210d08-415e-4d94-bb13-de848f5b670d.jpg","EİDS onaylı","Muğla / Bodrum / Akyarlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/nurla-bodrum-emlak-145824","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/2/8/5/4/1/d5e3e018-6bcf-42db-a3e3-11a1cbacf471.jpg","Nur’la Bodrum Emlak","Akyarlarda Kiralık Modern Eşyalı Yenilenmiş Geniş 1+1 Daire"
"https://www.hepsiemlak.com/mugla-marmaris-kemeralti-kiralik/daire/84388-919","48","80.000","05-04-2025","Kiralık Daire","2 +
                          1","110 m²","25
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/9/3/8/3/4/4/212208a7-af84-4a6d-85d2-21851847732f.jpg","EİDS onaylı","Muğla / Marmaris / Kemeraltı Mah.","https://www.hepsiemlak.com/emlak-ofisi/step-in-gayrimenkul-84388","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/8/3/4/8/0/7082df87-8149-4019-aa9f-7cd2282ffca3.jpg","Step İn Gayrimenkul","Marmaris Merkezde Muhteşem Deniz Manzaralı Full Eşyalı Lüks Daire"
"https://www.hepsiemlak.com/mugla-mentese-kotekli-kiralik/daire/92216-1534","60","20.000","05-04-2025","Kiralık Daire","2 +
                          1","60 m²","12
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/1/9/8/4/3/4/4/297f3ad1-43f4-4fd2-a4c0-e39bd4f903bc.jpg","EİDS onaylı","Muğla / Menteşe / Kötekli Mah.","https://www.hepsiemlak.com/emlak-ofisi/yatagan-emlak-92216","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/1/2/2/9/0/ef3bc344-e800-4aae-baed-3877633e73ac.jpg","Yatağan Emlak","Muğla Kötekli De Kiralık 2+1 Eşyalı Daire"
"https://www.hepsiemlak.com/mugla-kavaklidere-mentese-kiralik/mustakil-ev/137403-66","22","12.500","05-04-2025","Kiralık Müstakil Ev","2 +
                          1","230 m²","Sıfır Bina","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/7/3/7/6/3/4/1731067699-530915-43673793.jpeg","","Muğla / Kavaklıdere / Menteşe Mah.","https://www.hepsiemlak.com/emlak-ofisi/fatih-emlak-137403/bahtiyar-seytan-3756786","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","","Fatih Emlak","Doğal Gazlı Müstakil Gelin Evi Olur"
"https://www.hepsiemlak.com/mugla-milas-oren-kiralik/mustakil-ev/140923-182","35","50.000","05-04-2025","Kiralık Müstakil Ev","2 +
                          1","110 m²","10
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/3/6/1/3/8/2/4/f94cbb04-8d06-467d-81ca-848f2839fb31.jpg","EİDS onaylı","Muğla / Milas / Ören Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Milas Ören 2. Migros Karşısı Yalıya 100 Metre Merkezde 2+1 Müstakil Bahçeli Dubleks Uygun Fıyat"
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/villa/72817-755","32","100.000","05-04-2025","Kiralık Villa","3 +
                          1","250 m²","10
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/4/9/0/3/2/4/a93cf827-f052-453e-bec0-4fc61e34fbdf.jpg","EİDS onaylı","Muğla / Bodrum / Gündoğan Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Bodrum Yalıkavak Plajlı,Havuzlu Sitede 3+1,160 M2,Deniz Manzaralı,Bahçeli,Eşyalı Kiralık Lux Dblx"
