"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","he-lazy-image src 2"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-ornekevler-kiralik/daire/87840-3234","23","13.500","05-04-2025","Kiralık Daire","3 +
                          1","125 m²","14
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Öztürk Emlak'tan Örnekevler Mh'de Arakat Isı Yalıtımlı Doğalgazlı 3+1","Afyonkarahisar / Merkez / Örnekevler Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/26985-2723","52","6.500","05-04-2025","Kiralık Daire","1 +
                          1","70 m²","5
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Safran Dan Afyon Erenler   Kocatepe Üniversitesi Yakını Orta Kat  Ferah Asansörlü","Afyonkarahisar / Merkez / Erenler Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/8/9/6/2/0/fa716142-3e88-40d2-b030-1b352090d86c.png"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-kiralik/daire/145595-155","21","18.000","05-04-2025","Kiralık Daire","Stüdyo","72 m²","1
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Selçuklu  Eşyalı  Çok  Geniş Daire","Afyonkarahisar / Merkez / Selçuklu Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/0-44419158","32","14.500","04-04-2025","Kiralık Daire","3 +
                          1","115 m²","25
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sahibinden Yeni Boyanmış Kiralık Daire","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/5/1/9/1/4/4/4/1743750129198-44419158.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-ali-cetinkaya-kiralik/daire/143765-603","16","18.000","02-04-2025","Kiralık Daire","2 +
                          1","100 m²","4
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Nokta Emlak'tan Aliçetinkaya Mh. 2+1 Kiralık Daire","Afyonkarahisar / Merkez / Ali Çetinkaya Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/1/1/1/4/4/4/50858222-83d0-4db5-9072-b460fc31f056.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-kocatepe-kiralik/daire/138684-331","17","10.000","04-04-2025","Kiralık Daire","3 +
                          1","120 m²","30
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kocatepe Mahallesinde Asansörlü Kiralık Daire","Afyonkarahisar / Merkez / Kocatepe Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/3/4/4/8/3/4/4/3dd4d448-3d27-42de-901d-ff198223174a.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/116282-1195","30","10.000","05-04-2025","Kiralık Daire","2 +
                          1","110 m²","30
                        Yaşında","4. Kat","","","","Sılam Emlak'tan Cumhuriyet Mah. 2+1 Kiralık Daire","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/4/2/9/7/6/3/4/7d47d062-0f78-4b4d-a14d-0634a255d723.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-istiklal-kiralik/daire/143765-605","19","16.000","03-04-2025","Kiralık Daire","3 +
                          1","120 m²","18
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Nokta Emlak'tan İstiklal Mh.3+1 Kiralık Daire","Afyonkarahisar / Merkez / İstiklal Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/3/7/1/4/4/4/1743691071740-44417300.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-veysel-karani-kiralik/daire/145595-125","27","14.000","05-04-2025","Kiralık Daire","2 +
                          1","95 m²","6
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Tezcan Emlaktan Veysel Karani Site İçi Ankstreli Daire","Afyonkarahisar / Merkez / Veysel Karani Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/3/2/9/9/3/4/824d2971-e8b9-4030-89bd-77861eba0aa8.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-osman-gazi-kiralik/daire/145595-150","14","10.500","05-04-2025","Kiralık Daire","3 +
                          1","131 m²","7
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Tezcan Emlaktan Osmangazi Mahallesi Bahçe Katı Daire","Afyonkarahisar / Merkez / Osman Gazi Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/7/4/3/2/3/4/4/5d251625-05c6-4eb1-a55b-343787523393.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-kiralik/daire/149466-1","20","27.000","25-03-2025","Kiralık Daire","2 +
                          1","100 m²","Sıfır Bina","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sağlam Emlaktan Hastane Arkasında Kiralık Lüks Eşyalı 2+1daire","Afyonkarahisar / Merkez / Selçuklu Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/6/1/6/8/3/4/4/1742913972748-44386168.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-esentepe-kiralik/daire/142896-66","19","18.000","29-03-2025","Kiralık Daire","4 +
                          1","159 m²","5
                        Yaşında","Ara Kat","","","","Afyon Bilge Emlak Dan Esentepede   Lüks  Kiralık Daire","Afyonkarahisar / Merkez / Esentepe Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/2/9/3/9/3/4/3cc31c64-1b41-4412-8cb8-961a688fd19d.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dervis-pasa-kiralik/daire/124135-69","24","15.000","24-03-2025","Kiralık Daire","3 +
                          1","120 m²","30
                        Yaşında","5. Kat","","","","Afyon Şehir Merkezinin En Gözde Semti Ordu Bulvarı,  Mumcu  Apartmanı'nda Afjetli  3+1 Kiralık Daire","Afyonkarahisar / Merkez / Derviş Paşa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/7/4/1/5/3/4/bfa0fc0e-f14c-4fd6-a50d-6db4da83ad8b.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dervis-pasa-kiralik/daire/142896-73","9","12.750","03-04-2025","Kiralık Daire","3 +
                          1","146 m²","22
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bilge Emlak'tan Dervişpaşa Mahallesi 3+1 Afjetli  Ara Kat   Kiralık    Daire","Afyonkarahisar / Merkez / Derviş Paşa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/7/1/1/4/4/4/ad0215bf-88d4-46cb-b6ed-35d18107aae6.jpg"
