"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","eids-badge__description","he-lazy-image src","eids-badge__label","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/kutahya-tavsanli-omerbey-kiralik/daire/154207-32","16","13.500","05-04-2025","3 +
                          1","130 m²","Sıfır Bina","4. Kat","Muhtar Emlak'tan Ömerbey Toki  Konutlarında 3+1 Sıfır Kiralık Daire","Kütahya / Tavşanlı / Ömerbey Mah.","","","","","","",""
"https://www.hepsiemlak.com/kutahya-merkez-servi-kiralik/daire/137832-529","16","13.000","04-04-2025","1 +
                          1","60 m²","10
                        Yaşında","4. Kat","Kütahya Merkez Servi Mah Eşyalı 1+1 Kiralık Daire","Kütahya / Merkez / Servi Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/kutahya-serra-gayrimenkul-137832","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/8/7/3/1/787e36e1-7510-4a08-8185-2ffa12607803.jpg","Kütahya Serra Gayrimenkul",""
"https://www.hepsiemlak.com/kutahya-merkez-ok-meydani-kiralik/daire/137832-523","25","15.000","04-04-2025","2 +
                          1","120 m²","5
                        Yaşında","Yüksek Giriş","Kütahya Merkez Okmeydanı Kiralık 2+1 Daire","Kütahya / Merkez / Ok Meydanı Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/kutahya-serra-gayrimenkul-137832","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/8/7/3/1/787e36e1-7510-4a08-8185-2ffa12607803.jpg","Kütahya Serra Gayrimenkul",""
"https://www.hepsiemlak.com/kutahya-merkez-dumlupinar-kiralik/daire/151199-55","13","10.000","04-04-2025","2 +
                          1","65 m²","8
                        Yaşında","Ara Kat","Fidan'dan Dumlupumar Mh.Kampüs Kent'te Eşyalı Arakat 2+0 Daire","Kütahya / Merkez / Dumlupınar Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/0/5/9/2/4/4/a9805d81-2ad2-43d8-a891-008e72466935.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-gaybiefendi-kiralik/daire/150438-62","12","23.000","03-04-2025","1 +
                          1","65 m²","Sıfır Bina","En Üst Kat","Altınışık Tan Kiralık Merkez De Lüks Eşyalı 1+1","Kütahya / Merkez / Gaybiefendi Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/altinisik-emlak-150438","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/6/3/7/3/4/4/1742652338-7163072-44373678.jpeg","Altınışık Emlak","https://www.hepsiemlak.com/img/loadings/noImage55-55.png"
"https://www.hepsiemlak.com/kutahya-merkez-meydan-kiralik/daire/73389-2875","23","10.000","04-04-2025","1 +
                          1","85 m²","7
                        Yaşında","Giriş Katı","Eşyalı Kiralık 1+1 Bahçe Dubleksi 10.000 Tl.","Kütahya / Merkez / Meydan Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/0/3/8/3/4/4/e4ec7343-3bd5-42f6-aef4-65c0ebe4baed.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-yunusemre-kiralik/daire/119531-702","17","7.250","01-04-2025","1 +
                          1","45 m²","8
                        Yaşında","Ara Kat","Kütahya Merkez Yunusemre Mh. Balkonlu Eşyalı Kiralık Daire","Kütahya / Merkez / Yunusemre Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/ozen-gayrimenkul-119531","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/3/2/1/2/4/4/1739901963192-44212353.jpg","Özen Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/5/9/1/1/0601cb15-dd30-48b4-88ad-a37a1affa3a7.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-yunusemre-kiralik/daire/137832-489","12","8.000","04-04-2025","1 +
                          1","55 m²","11
                        Yaşında","Ara Kat","Kütahya Merkez Yunusemre Mah Eşyalı Kiralık 1+1 Daire","Kütahya / Merkez / Yunusemre Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/kutahya-serra-gayrimenkul-137832","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/7/9/5/8/9/3/4/257860c7-6a8a-47b3-8ff4-c0161a571249.jpg","Kütahya Serra Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/8/7/3/1/787e36e1-7510-4a08-8185-2ffa12607803.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-cedit-kiralik/daire/119531-701","18","9.000","01-04-2025","2 +
                          1","95 m²","20
                        Yaşında","1. Kat","Kütahya Merkez Cedit Mahallesi 2+1 Kiralik Daire ( Samanpazarı )","Kütahya / Merkez / Cedit Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/ozen-gayrimenkul-119531","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/6/6/0/2/4/4/1739818315548-44206657.jpg","Özen Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/5/9/1/1/0601cb15-dd30-48b4-88ad-a37a1affa3a7.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-75-yil-kiralik/daire/0-44382039","26","15.000","27-03-2025","3 +
                          1","130 m²","25
                        Yaşında","7. Kat","75 Yıl Mahallesi Atakent Öz Çiçek Sitesinde Kiralık Daire","Kütahya / Merkez / 75. Yıl Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/3/0/2/8/3/4/4/YziixpYzwp5EuMVkglgN2.jpg","",""
